"index","dep_id","Copepod","Fish","Eumalacostracan","Jellyfish","Eucarid","Squid","Polychaete","Peracarid","Goose_barnacle","Stenobrachius","Red_Irish_lord","Herring","Capelin","Sand_lance","Gadus","Greenling","Prowfish","Sandfish","Eulachon","Crested_bigscale","Gadid","Lingcod","Daubed_shanny","Searcher","Scaly_paperbone","Lampanyctus","Pacific_salmon","Eelpout","Sablefish","California_headlightfish","Scalyhead_sculpin","Cockscomb","Lobefin_snailfish","Wrymouth","Rockfish","Arrowtooth_flounder","Buffalo_sculpin","Tidepool_snailfish","Sole","Atlantic_salmon"
"BLKI-MID-AD-2024-10","A98_okswwg_10May2024",0,0,0,0,0,0,0,0,0,0.935,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-13","A115_wsyyg_13May2024",0.579,0,0,0,0.004,0.035,0,0,0,0.238,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0.032,0,0,0,0,0,0,0,0.029,0,0.008,0,0,0,0
"BLKI-MID-AD-2024-14","A112_oerrs_13May2024",0,0,0,0,0,0.008,0,0,0,0.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.003,0,0,0,0,0,0,0,0.06,0,0.001,0,0,0,0
"BLKI-MID-AD-2024-17","A113_oysbko_15May2024",0,0,0,0,0,0,0,0,0,0.08,0.052,0.098,0.014,0,0,0,0,0,0.693,0,0,0,0,0,0,0.018,0,0,0,0,0.012,0,0,0.032,0,0,0,0,0,0
"BLKI-MID-AD-2024-20","A119_esboo_17May2024",0,0,0,0,0,0,0,0,0,0.012,0.011,0.008,0,0,0,0,0,0,0.761,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.173,0,0.027,0,0,0,0
"BLKI-MID-AD-2024-23","A117_oksbrb_17May2024",0,0,0,0,0.009,0,0,0,0,0,0.002,0.075,0.583,0,0,0,0,0,0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0
"BLKI-MID-AD-2024-25","A121_gbwgs_18May2024",0,0,0,0,0,0,0,0,0,0,0,0,0.531,0,0,0,0,0,0.047,0,0,0,0,0.365,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0
"BLKI-MID-AD-2024-26","A116_obbes_17May2024",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-28","A122_eyges_7Jun2024",0.792,0,0,0,0.09,0,0,0,0,0,0,0.049,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0
"BLKI-MID-AD-2024-290","A117_bksyry_4Aug2024",0,0,0,0,0,0,0,0,0,0,0,0.182,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-3","A105_wyobs_8May2024",0,0,0.058,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
"BLKI-MID-AD-2024-30","A121_ywgws_8Jun2024",0,0,0,0,0,0,0,0,0,0,0,0.011,0.016,0.025,0,0.942,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-31","A120_wsywo_8Jun2024",0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
"BLKI-MID-AD-2024-32","A113_bwwrs_10Jun2024",0,0,0,0,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-33","A114_wsyeb_10Jun2024",0,0,0,0,0,0,0,0,0,0,0,0.063,0.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-34","A119_rbybs_10Jun2024",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-35","A116_yosgkb_10Jun2024",0,0,0,0,0,0,0,0,0,0,0,0.305,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16
"BLKI-MID-AD-2024-36","A118_esyee_11Jun2024",0.715,0,0,0,0,0,0,0,0,0.014,0,0.007,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-38","A122_yowws_12Jun2024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-39","A123_wbsokb_12Jun2024",0,0,0,0,0,0,0,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-4","A99_bwobs_8May2024",0.001,0,0,0,0.001,0,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
"BLKI-MID-AD-2024-40","A121_rybrks_14Jun2024",0,0,0,0,0,0,0,0,0,0.767,0.001,0.128,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0
"BLKI-MID-AD-2024-41","A125_wbsrgg_14Jun2024",0.041,0,0,0,0,0,0,0,0,0,0,0.394,0.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
