"index","dep_id","Copepod","Fish","Eumalacostracan","Jellyfish","Eucarid","Squid","Polychaete","Peracarid","Goose_barnacle"
"BLKI-MID-AD-2024-10","A98_okswwg_10May2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-13","A115_wsyyg_13May2024",0.579,0.382,0,0,0.004,0.035,0,0,0
"BLKI-MID-AD-2024-14","A112_oerrs_13May2024",0,0.992,0,0,0,0.008,0,0,0
"BLKI-MID-AD-2024-17","A113_oysbko_15May2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-20","A119_esboo_17May2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-23","A117_oksbrb_17May2024",0,0.991,0,0,0.009,0,0,0,0
"BLKI-MID-AD-2024-25","A121_gbwgs_18May2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-26","A116_obbes_17May2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-28","A122_eyges_7Jun2024",0.792,0.118,0,0,0.09,0,0,0,0
"BLKI-MID-AD-2024-290","A117_bksyry_4Aug2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-3","A105_wyobs_8May2024",0,0.001,0.058,0,0.94,0,0,0,0
"BLKI-MID-AD-2024-30","A121_ywgws_8Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-31","A120_wsywo_8Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-32","A113_bwwrs_10Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-33","A114_wsyeb_10Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-34","A119_rbybs_10Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-35","A116_yosgkb_10Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-36","A118_esyee_11Jun2024",0.715,0.285,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-38","A122_yowws_12Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-39","A123_wbsokb_12Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-4","A99_bwobs_8May2024",0.001,0.998,0,0,0.001,0,0,0,0
"BLKI-MID-AD-2024-40","A121_rybrks_14Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-41","A125_wbsrgg_14Jun2024",0.041,0.959,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-43","A112_rbwes_14Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-44","A115_orsgkg_15Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-45","A117_yoebs_18Jun2024",0.113,0.877,0,0,0,0.01,0,0,0
"BLKI-MID-AD-2024-47","A107_wkoyos_2Jul2024",0.558,0.442,0,0,0.001,0,0,0,0
"BLKI-MID-AD-2024-48","A114_ryews_15Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-5","A104_eseey_10May2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-50","A113_gybos_17Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-51","A124_owobks_17Jun2024",0,0.949,0,0,0,0,0.051,0,0
"BLKI-MID-AD-2024-52","A119_bgbrrs_17Jun2024",0.562,0.438,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-53","A123_esyrb_19Jun2024",0.004,0.996,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-54","A125_gwwrys_18Jun2024",0.001,0.996,0,0,0.004,0,0,0,0
"BLKI-MID-AD-2024-56","A116_gyors_19Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-57","A112_bowys_19Jun2024",0,0.967,0,0,0.033,0,0,0,0
"BLKI-MID-AD-2024-58","A127_bswow_26Jun2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-59","A116_eswoo_28Jun2024",0.597,0.403,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-61","A120_wkbbbs_29Jun2024",0.128,0.872,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-62","A119_ygbrs_29Jun2024",0.508,0.492,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-63","A122_wrrrys_1Jul2024",0.637,0.362,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-64","A126_wwsgbr_1Jul2024",0.101,0.899,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-65","A114_bsweb_2Jul2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-66","A116_wybrs_2Jul2024",0.198,0.766,0,0,0.036,0,0,0,0
"BLKI-MID-AD-2024-67","A113_bkbyws_2Jul2024",0,0.966,0,0,0,0,0.034,0,0
"BLKI-MID-AD-2024-68","A127_ysybg_1Jul2024",0.912,0.088,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-69","A118_wbsgko_2Jul2024",0.015,0.985,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-7","A108_wgsryw_8May2024",0,0.495,0.003,0,0.502,0,0,0,0
"BLKI-MID-AD-2024-70","A123_gwsory_3Jul2024",0.814,0.157,0,0,0.029,0,0,0,0
"BLKI-MID-AD-2024-71","A120_ywswyr_3Jul2024",0.053,0.947,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-72","A119_wswew_3Jul2024",0.039,0.961,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-73","A112_errrs_3Jul2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-74","A104_bwgwrs_5Jul2024",0.165,0.835,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-75","A115_gkrbrs_5Jul2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-76","A126_wsrbe_5Jul2024",0.423,0.577,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-77","A121_oswwr_5Jul2024",0.003,0.997,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-78","A114_roggbs_8Jul2024",0.448,0.508,0,0,0.007,0,0,0.037,0
"BLKI-MID-AD-2024-79","A116_orrwgs_8Jul2024",0.458,0.541,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-80","A127_bosoog_9Jul2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-81","A118_wsrob_9Jul2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-82","A113_wgybs_9Jul2024",0.961,0.039,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-83","A119_wbggs_9Jul2024",0.406,0.594,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-84","A120_borrs_9Jul2024",0.258,0.711,0,0,0.03,0,0,0,0
"BLKI-MID-AD-2024-85","A122_ykbyws_9Jul2024",0.974,0.026,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-86","A123_bwsgbb_9Jul2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-87","A124_obsoog_10Jul2024",0.964,0.034,0,0,0.002,0,0,0,0
"BLKI-MID-AD-2024-88","A116_erbgs_12Jul2024",0.402,0.598,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-89","A112_osrow_12Jul2024",0,1,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-90","A117_yysyky_12Jul2024",0.298,0.702,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-91","A115_erybs_12Jul2024",0.03,0.97,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-93","A119_oygoks_13Jul2024",0.417,0.583,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-94","A127_wksrbo_16Jul2024",0.883,0.111,0,0,0,0,0.002,0.004,0
"BLKI-MID-AD-2024-95","A123_gwbys_16Jul2024",0.003,0.996,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-96","A116_brsrkb_24Jul2024",0,0.518,0.016,0,0.466,0,0,0,0
"BLKI-MID-AD-2024-97","A118_ykygrs_4Aug2024",0.787,0.207,0,0,0.006,0,0,0,0
"BLKI-MID-AD-2024-98","A115_bsbrw_4Aug2024",0.793,0.197,0,0,0.01,0,0,0,0
"P01","A91_boers_11May2023",0,1,0,0,0,0,0,0,0
"P02","A95_brers_11May2023",0,1,0,0,0,0,0,0,0
"P03","A92_ryews_11May2023",0,1,0,0,0,0,0,0,0
"P04","A93_wyobs_11May2023",0,1,0,0,0,0,0,0,0
"P05","A89_ygegs_11May2023",0,1,0,0,0,0,0,0,0
"P06","A90_yysyky_11May2023",0,0.004,0,0,0,0,0.996,0,0
"P08","A94_bsbwe_11May2023",0,0.544,0.004,0,0.452,0,0,0,0
"P09","A84_wgsryw_13May2023",0,0.996,0,0,0.004,0,0,0,0
"P100","A89_yoebs_8July2023",0,1,0,0,0,0,0,0,0
"P101","A87_esgyb_8July2023",0.326,0.674,0,0,0,0,0,0,0
"P102","A110_yksywg_8July2023",0,1,0,0,0,0,0,0,0
"P103","A83_wkgwys_10July2023",0,1,0,0,0,0,0,0,0
"P104","A108_bgoys_10July2023",0,1,0,0,0,0,0,0,0
"P105","A91_bwswkw_10July2023",0,0.303,0.002,0,0.684,0.01,0,0,0
"P106","A111_wkbbbs_11July2023",0.814,0.152,0,0.033,0,0,0,0,0
"P108","A104_wsrbe_11July2023",0,0.994,0,0,0.006,0,0,0,0
"P109","A99_bsbbr_11July2023",0.688,0.312,0,0,0,0,0,0,0
"P11","A83_obbes_13May2023",0,1,0,0,0,0,0,0,0
"P110","L4_regws_14Jul2023",0.093,0.907,0,0,0,0,0,0,0
"P111","L36_owrgs_14Jul2023",0,1,0,0,0,0,0,0,0
"P112","A98_erbgs_13July2023",0,1,0,0,0,0,0,0,0
"P113","A110_bksrow_13July2023",0,0.994,0,0,0.006,0,0,0,0
"P114","A105_bgbrrs_14July2023",0,1,0,0,0,0,0,0,0
"P115","A102_oswwr_14July2023",0,0.957,0,0,0.043,0,0,0,0
"P117","A108_royrs_14July2023",0.072,0.928,0,0,0,0,0,0,0
"P118","L4_rkygbs_16Jul2023",0,1,0,0,0,0,0,0,0
"P119","A106_oysbko_15July2023",0,1,0,0,0,0,0,0,0
"P12","A88_regws_13May2023",0,0.462,0,0,0.538,0,0,0,0
"P120","A111_boyrs_15July2023",0.114,0.886,0,0,0,0,0,0,0
"P122","A98_oewys_17July2023",0,0.982,0,0,0,0.018,0,0,0
"P123","A99_bbbes_18July2023",0.364,0.636,0,0,0,0,0,0,0
"P125","Z21_grsykr_21Jul2023",0,1,0,0,0,0,0,0,0
"P13","A85_bswey_13May2023",0,1,0,0,0,0,0,0,0
"P14","A81_byegs_13May2023",0,0.302,0,0,0,0,0.698,0,0
"P15","A82_esero_13May2023",0,1,0,0,0,0,0,0,0
"P16","A79_wswew_13May2023",0,1,0,0,0,0,0,0,0
"P17","A92_bwoes_18May2023",0,1,0,0,0,0,0,0,0
"P22","A95_yyobs_18May2023",0,1,0,0,0,0,0,0,0
"P28","A83_eserr_18May2023",0,1,0,0,0,0,0,0,0
"P35","A84_beegs_25May2023",0,1,0,0,0,0,0,0,0
"P38","A94_wbbws_25May2023",0,1,0,0,0,0,0,0,0
"P40","A85_esgoe_25May2023",0,1,0,0,0,0,0,0,0
"P41","A81_wsrgb_25May2023",0,1,0,0,0,0,0,0,0
"P44","A95_esowg_25May2023",0.19,0.81,0,0,0,0,0,0,0
"P45","A91_oogrs_25May2023",0,1,0,0,0,0,0,0,0
"P47","A86_owobks_25May2023",0,1,0,0,0,0,0,0,0
"P55","A96_borrs_12June2023",0,1,0,0,0,0,0,0,0
"P56","A105_gkowrs_12June2023",0.001,0.999,0,0,0,0,0,0,0
"P57","A104_wrrrys_14June2023",0,1,0,0,0,0,0,0,0
"P58","A98_rowys_14June2023",0,1,0,0,0,0,0,0,0
"P60","A108_wsywo_16June2023",0.003,0.997,0,0,0,0,0,0,0
"P62","A101_okogrs_16June2023",0,1,0,0,0,0,0,0,0
"P66","A107_wbsokb_19June2023",0,1,0,0,0,0,0,0,0
"P67","A110_gwsory_19June2023",0,1,0,0,0,0,0,0,0
"P68","A103_esywy_20June2023",0,1,0,0,0,0,0,0,0
"P69","A102_wbsrgg_19June2023",0.069,0.93,0,0,0,0,0,0,0
"P70","A96_brgrs_20June2023",0,1,0,0,0,0,0,0,0
"P71","A105_esboo_20June2023",0,1,0,0,0,0,0,0,0
"P72","A100_owwybs_22June2023",0,1,0,0,0,0,0,0,0
"P73","A109_bsbyr_22June2023",0,1,0,0,0,0,0,0,0
"P74","A99_yrews_23June2023",0,1,0,0,0,0,0,0,0
"P75","A106_wsryy_23June2023",0.951,0.049,0,0,0,0,0,0,0
"P76","A104_rworbs_24June2023",0,0.998,0,0,0,0.002,0,0,0
"P77","A110_wsrgg_24June2023",0,1,0,0,0,0,0,0,0
"P78","A101_wbggs_24June2023",0.358,0.642,0,0,0,0,0,0,0
