"BL_ID","Prey","Count","Confidence","BirdMethod","PreyMethod","n_measured","TotalMass","AvMass","AvLength"
"DR16_2024-07-17_09:02:00","Gadid",3,100,"Bill height","Tail",1,2.49509403582771,0.831698011942571,52.7635194387606
"DR16_2024-07-17_09:02:00","Sandlance",2,50,"Bill height","Tail",1,1.0560375726678,0.528018786333898,59.4827586206897
"DR16_2024-07-17_15:41:00","Sandlance",1,75,"Bill height","Tail",1,0.239239664238796,0.239239664238796,47.2229534087918
"DR16_2024-07-17_15:41:00","Unknown",2,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-17_20:01:00","Sandlance",2,75,"Bill height","Tail",1,0.585178195011264,0.292589097505632,50.0773651635721
"DR16_2024-07-17_20:01:00","Unknown",2,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-17_20:01:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-17_20:58:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-18_04:43:00","Unknown",2,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-18_04:43:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-18_11:44:00","Sandlance",5,100,"Bill height","Tail",2,1.35478690015696,0.270957380031392,48.2164877825988
"DR16_2024-07-18_15:44:00","Sandlance",5,100,"Bill height","Tail",1,0.455105465914453,0.0910210931828906,35.6282271944923
"DR16_2024-07-18_19:40:00","Gadid",2,50,"Bill height","Tail",1,4.20756744717147,2.10378372358574,68.8361681342072
"DR16_2024-07-19_04:44:00","UnknownFish",3,NA,"Bill height","Tail",1,NA,NA,NA
"DR16_2024-07-19_18:17:00","Gadid",5,100,"Bill height","Tail",2,3.63082431467867,0.726164862935733,49.6630087766475
"DR16_2024-07-20_05:48:00","Herring0",9,50,"Bill height","Tail",1,1.90553196490163,0.211725773877958,35.6638154337051
"DR16_2024-07-20_13:03:00","Gadid",3,100,"Bill height","Tail",1,3.74987812005966,1.24995937335322,59.2966418179459
"DR16_2024-07-20_14:20:00","Gadid",6,75,"Bill height","Tail",2,3.56149382465703,0.593582304109505,46.2322713753974
"DR16_2024-07-20_14:20:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-20_20:41:00","UnknownFish",3,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-21_06:40:00","Gadid",5,75,"Bill height","Head",1,2.50884779779302,0.501769559558604,45.651058004905
"DR16_2024-07-21_10:21:00","Gadid",4,100,"Bill height","Tail",1,7.83150305492337,1.95787576373084,67.4329695926273
"DR16_2024-07-21_15:58:00","Gadid",4,100,"Bill height","Tail",2,4.49455517481968,1.12363879370492,56.1743175754259
"DR16_2024-07-21_15:58:00","Sandlance",1,50,"Bill height","Tail",1,0.714535631690791,0.714535631690791,64.96698459281
"DR16_2024-07-22_06:40:00","Unknown",2,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-22_06:40:00","UnknownFish",2,NA,"Bill height","Tail",1,NA,NA,NA
"DR16_2024-07-22_15:01:00","Gadid",6,100,"Bill height","Tail",3,4.57853369852152,0.763088949753587,49.7429700780306
"DR16_2024-07-23_08:37:00","Sandlance",2,100,"Bill height","Tail",2,0.933440918535004,0.466720459267502,56.5182457315032
"DR16_2024-07-23_10:34:00","Gadid",5,50,"Bill height","Tail",1,3.86583840268183,0.773167680536365,51.6717252156144
"DR16_2024-07-23_15:24:00","Gadid",6,75,"Bill height","Tail",1,9.42918851551216,1.57153141925203,63.3168439277764
"DR16_2024-07-23_16:04:00","Gadid",6,100,"Bill height",NA,3,7.52566947171402,1.25427824528567,58.0903853910802
"DR16_2024-07-23_20:15:00","Herring0",3,50,"Bill height","Head",1,0.338242863984461,0.112747621328154,29.3780371497343
"DR16_2024-07-24_05:03:00","UnknownFish",5,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-24_05:59:00","Sandlance",2,50,"Bill height","Tail",2,0.742158822069426,0.371079411034713,53.4094439266853
"DR16_2024-07-24_05:59:00","UnknownFish",4,NA,"Bill height","Tail",1,NA,NA,NA
"DR16_2024-07-24_07:20:00","Gadid",5,100,"Bill height","Tail",1,8.63128973804537,1.72625794760907,65.0436380339917
"DR16_2024-07-24_08:31:00","UnknownFish",4,NA,"Bill height","Tail",1,NA,NA,NA
"DR16_2024-07-24_12:11:00","Herring0",2,50,"Bill height","Tail",1,0.0978831965356533,0.0489415982678267,22.7251148272547
"DR16_2024-07-24_12:11:00","Prowfish",1,75,"Bill height","Tail",1,0.461572110416143,0.461572110416143,40.6441368634325
"DR16_2024-07-24_12:11:00","Sandlance",2,50,"Bill height","Tail",1,0.216443797214946,0.108221898607473,37.4723188864283
"DR16_2024-07-24_17:44:00","Gadid",3,50,"Bill height","Tail",1,3.00659043053971,1.0021968101799,55.6595000952306
"DR16_2024-07-25_08:52:00","Gadid",4,75,"Bill height","Tail",1,8.36535010205546,2.09133752551387,68.719232848647
"DR16_2024-07-27_06:35:00","Gadid",3,100,"Headbill","Tail",1,5.83291578329432,1.94430526109811,67.2987133663617
"DR16_2024-07-27_08:29:00","Capelin",1,100,"Bill height","Tail",1,3.42696479706574,3.42696479706574,91.1777814266613
"DR16_2024-07-27_08:29:00","Gadid",4,NA,"Bill height","Tail",2,7.01777732520017,1.75444433130004,64.4751592613228
"DR16_2024-07-27_09:53:00","Prowfish",1,50,NA,NA,0,NA,NA,NA
"DR16_2024-07-27_12:52:00","Gadid",2,50,"Bill height","Tail",1,0.679551101151957,0.339775550575978,40.8260465896991
"DR16_2024-07-27_16:24:00","Gadid",4,100,"Bill height","Tail",1,2.10114712017318,0.525286780043294,46.2541395706874
"DR16_2024-07-27_16:24:00","Squid",1,50,"Bill height","Head",1,0.618044916411959,0.618044916411959,44.6166183055373
"DR16_2024-07-27_16:24:00_1","Gadid",4,100,"Bill height","Tail",1,8.34149905447286,2.08537476361821,68.6630351626987
"DR16_2024-07-27_18:55:00","Gadid",1,75,"Bill height","Head",1,2.51493560943812,2.51493560943812,72.448663308795
"DR16_2024-07-27_18:55:00","Sandlance",2,75,"Bill height","Head",1,7.03794093996182,3.51897046998091,103.40848806366
"DR16_2024-07-28_13:13:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-07-28_14:31:00","Gadid",4,100,"Bill height","Tail",2,3.72937506235421,0.932343765588553,52.7698368154089
"DR16_2024-07-31_18:49:00","Herring0",4,50,"Bill height","Head",1,0.800574196036525,0.200143549009131,35.0517918799857
"DR16_2024-07-31_18:49:00","Prowfish",1,75,"Bill height","Head",1,2.81367685550654,2.81367685550654,70.1727500696573
"DR16_2024-08-01_05:28:00","Gadid",1,50,"Bill height","Tail",1,1.82988810614785,1.82988810614785,66.1392867582578
"DR16_2024-08-01_06:37:00","Gadid",5,50,"Bill height","Head",1,6.40302542089599,1.2806050841792,59.7096095633882
"DR16_2024-08-02_09:01:00","Gadid",4,100,"Headbill","Tail",1,14.7791666789059,3.69479166972647,80.8908606240371
"DR16_2024-08-02_18:07:00","Gadid",5,100,"Bill height","Tail",2,4.18712717044266,0.837425434088532,52.576224031379
"DR16_2024-08-03_06:17:00","Gadid",4,75,"Bill height","Tail",2,2.31795292249391,0.579488230623477,45.201531667356
"DR16_2024-08-03_06:30:00","Capelin",1,100,"Headbill","Tail",1,3.00982955986029,3.00982955986029,88.092181592797
"DR16_2024-08-03_06:30:00","Gadid",2,100,"Headbill","Tail",1,6.22866840538572,3.11433420269286,77.0249849454058
