"index","Age","Stage","type","Copepod","Fish","Jellyfish","Squid","Ctenophore","Stenobrachius","Red_Irish_lord","Herring","Capelin","Sand_lance","Gadus","Greenling","Prowfish","Sandfish","Gadid","Lampanyctus","Sablefish","Longfin_sculpin","Rockfish","Sculpin","Sharpnose_sculpin","Buffalo_sculpin","Medusafish","Grunt_sculpin","Sailfin_sculpin"
"TUPU-MID-AD-2024-102","AD","INC","Adult_INC",0.01,0,0.697,0.21,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-106","AD","INC","Adult_INC",0,0,0.874,0,0,0,0,0.006,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0.002
"TUPU-MID-AD-2024-108","AD","INC","Adult_INC",0.022,0,0.885,0,0,0,0.001,0.024,0,0,0,0,0.065,0,0,0,0,0,0,0,0.003,0,0,0,0
"TUPU-MID-AD-2024-109","AD","INC","Adult_INC",0.003,0,0.329,0,0,0,0,0,0,0,0,0,0.668,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-110","AD","INC","Adult_INC",0.019,0,0.857,0,0,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-112","AD","INC","Adult_INC",0.021,0,0.951,0,0,0,0,0.008,0,0,0,0,0.013,0,0.007,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-119","AD","INC","Adult_INC",0,0,0.658,0,0,0,0,0,0,0,0,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-123","AD","INC","Adult_INC",0,0,0.726,0.013,0,0,0,0.011,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-124","AD","INC","Adult_INC",0.016,0,0.974,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-125","AD","INC","Adult_INC",0.01,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-126","AD","INC","Adult_INC",0.007,0,0.804,0,0,0,0,0.001,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-127","AD","INC","Adult_INC",0.01,0,0.842,0.003,0,0,0,0.007,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0,0
