"index","Age","Stage","type","Stenobrachius","Red_Irish_lord","Herring","Capelin","Sand_lance","Gadus","Greenling","Prowfish","Sandfish","Gadid","Lampanyctus","Sablefish","Longfin_sculpin","Rockfish","Sculpin","Sharpnose_sculpin","Buffalo_sculpin","Medusafish","Grunt_sculpin","Sailfin_sculpin"
"TUPU-MID-AD-2024-101","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-102","AD","INC","Adult_INC",0,0,0.004,0,0,0,0,0.995,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-103","AD","INC","Adult_INC",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-105","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-106","AD","INC","Adult_INC",0,0,0.05,0,0,0,0,0.933,0,0,0,0,0,0,0,0,0,0,0,0.017
"TUPU-MID-AD-2024-107","AD","INC","Adult_INC",0,0,0.115,0,0,0,0,0.845,0,0.041,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-108","AD","INC","Adult_INC",0,0.014,0.253,0,0,0,0,0.697,0,0,0,0,0,0,0,0.036,0,0,0,0
"TUPU-MID-AD-2024-109","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-110","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-112","AD","INC","Adult_INC",0,0,0.296,0,0,0,0,0.472,0,0.233,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-113","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-114","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-117","AD","INC","Adult_INC",0,0,0.103,0,0,0,0,0.897,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-119","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-122","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-123","AD","INC","Adult_INC",0,0,0.043,0,0,0,0,0.957,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-124","AD","INC","Adult_INC",0,0,0.045,0,0,0.916,0,0.023,0,0.016,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-125","AD","INC","Adult_INC",0,0,0.955,0,0,0.002,0,0.037,0,0.002,0,0,0,0.003,0,0,0,0,0,0
"TUPU-MID-AD-2024-126","AD","INC","Adult_INC",0,0,0.003,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-127","AD","INC","Adult_INC",0,0,0.05,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0
