"index","Age","Stage","type","Copepod","Fish","Jellyfish","Squid","Ctenophore"
"TUPU-MID-AD-2024-102","AD","INC","Adult_INC",0.01,0.083,0.697,0.21,0
"TUPU-MID-AD-2024-106","AD","INC","Adult_INC",0,0.126,0.874,0,0
"TUPU-MID-AD-2024-108","AD","INC","Adult_INC",0.022,0.093,0.885,0,0
"TUPU-MID-AD-2024-109","AD","INC","Adult_INC",0.003,0.668,0.329,0,0
"TUPU-MID-AD-2024-110","AD","INC","Adult_INC",0.019,0.124,0.857,0,0
"TUPU-MID-AD-2024-112","AD","INC","Adult_INC",0.021,0.028,0.951,0,0
"TUPU-MID-AD-2024-119","AD","INC","Adult_INC",0,0.342,0.658,0,0
"TUPU-MID-AD-2024-123","AD","INC","Adult_INC",0,0.261,0.726,0.013,0
"TUPU-MID-AD-2024-124","AD","INC","Adult_INC",0.016,0.01,0.974,0,0
"TUPU-MID-AD-2024-125","AD","INC","Adult_INC",0.01,0,0.99,0,0
"TUPU-MID-AD-2024-126","AD","INC","Adult_INC",0.007,0.189,0.804,0,0
"TUPU-MID-AD-2024-127","AD","INC","Adult_INC",0.01,0.144,0.842,0.003,0
"TUPU-MID-AD-2024-129","AD","INC","Adult_INC",0,1,0,0,0
"TUPU-MID-AD-2024-130","AD","INC","Adult_INC",0.021,0.021,0.957,0,0
"TUPU-MID-AD-2024-131","AD","INC","Adult_INC",0,0.075,0.918,0,0
"TUPU-MID-AD-2024-133","AD","INC","Adult_INC",0.019,0.136,0.84,0.002,0.002
"TUPU-MID-AD-2024-135","AD","INC","Adult_INC",0,0.126,0.874,0,0
"TUPU-MID-AD-2024-136","AD","INC","Adult_INC",0,0.256,0.744,0,0
"TUPU-MID-AD-2024-139","AD","INC","Adult_INC",0,0.807,0.193,0,0
"TUPU-MID-AD-2024-140","AD","INC","Adult_INC",0,0.036,0.964,0,0
"TUPU-MID-AD-2024-141","AD","INC","Adult_INC",0,0.175,0.825,0,0
"TUPU-MID-AD-2024-142","AD","INC","Adult_INC",0,0.25,0.748,0.002,0
"TUPU-MID-AD-2024-143","AD","INC","Adult_INC",0,0.471,0.529,0,0
"TUPU-MID-AD-2024-144","AD","INC","Adult_INC",0,0.299,0.701,0,0
"TUPU-MID-AD-2024-148","AD","INC","Adult_INC",0,0.172,0.828,0,0
"TUPU-MID-AD-2024-150","AD","INC","Adult_INC",0.005,0.005,0.99,0,0
"TUPU-MID-AD-2024-151","AD","INC","Adult_INC",0.012,0.082,0.907,0,0
"TUPU-MID-AD-2024-152","AD","INC","Adult_INC",0,0.129,0.871,0,0
"TUPU-MID-AD-2024-153","AD","INC","Adult_INC",0,0.154,0.846,0,0
"TUPU-MID-AD-2024-154","AD","INC","Adult_INC",0.049,0.215,0.737,0,0
"TUPU-MID-AD-2024-155","AD","INC","Adult_INC",0,0.217,0.783,0,0
"TUPU-MID-AD-2024-156","AD","INC","Adult_INC",0.045,0.086,0.869,0,0
"TUPU-MID-AD-2024-157","AD","INC","Adult_INC",0.111,0.197,0.691,0,0
"TUPU-MID-AD-2024-158","AD","INC","Adult_INC",0.359,0.618,0.023,0,0
"TUPU-MID-AD-2024-159","AD","INC","Adult_INC",0,0.465,0.535,0,0
"TUPU-MID-AD-2024-160","AD","INC","Adult_INC",0.89,0.068,0.042,0,0
"TUPU-MID-AD-2024-161","AD","INC","Adult_INC",0,0.311,0.689,0,0
"TUPU-MID-AD-2024-162","AD","INC","Adult_INC",0.026,0.442,0.533,0,0
"TUPU-MID-AD-2024-166","AD","CHR","Adult_CHR",0.007,0.211,0.65,0.131,0
"TUPU-MID-AD-2024-167","AD","CHR","Adult_CHR",0.472,0.528,0,0,0
"TUPU-MID-AD-2024-168","AD","CHR","Adult_CHR",0.643,0.186,0.171,0,0.001
"TUPU-MID-AD-2024-169","AD","CHR","Adult_CHR",0.127,0.151,0.714,0.007,0
"TUPU-MID-AD-2024-171","AD","CHR","Adult_CHR",0.605,0.119,0.276,0,0
"TUPU-MID-AD-2024-172","AD","CHR","Adult_CHR",0.964,0.033,0.002,0,0
"TUPU-MID-AD-2024-173","AD","CHR","Adult_CHR",0.868,0.045,0.087,0,0
"TUPU-MID-AD-2024-176","AD","CHR","Adult_CHR",0.532,0.467,0,0,0
"TUPU-MID-AD-2024-178","AD","CHR","Adult_CHR",0.56,0.416,0.015,0,0
"TUPU-MID-AD-2024-179","AD","CHR","Adult_CHR",0.485,0.221,0.293,0,0
"TUPU-MID-AD-2024-180","AD","CHR","Adult_CHR",0.484,0.116,0.4,0,0
"TUPU-MID-AD-2024-181","AD","CHR","Adult_CHR",0.071,0.288,0.629,0,0.011
"TUPU-MID-AD-2024-182","AD","CHR","Adult_CHR",0.917,0.035,0.048,0,0
"TUPU-MID-AD-2024-183","AD","CHR","Adult_CHR",0.997,0.003,0,0,0
"TUPU-MID-AD-2024-184","AD","CHR","Adult_CHR",0.899,0.049,0.045,0,0
"TUPU-MID-AD-2024-185","AD","CHR","Adult_CHR",0.776,0.177,0.042,0,0.005
"TUPU-MID-AD-2024-186","AD","CHR","Adult_CHR",0.868,0.118,0.014,0,0
"TUPU-MID-AD-2024-187","AD","CHR","Adult_CHR",0.766,0.1,0.133,0,0
"TUPU-MID-AD-2024-189","AD","CHR","Adult_CHR",0.737,0.262,0.001,0,0
"TUPU-MID-AD-2024-191","AD","CHR","Adult_CHR",0.204,0.234,0.561,0,0
"TUPU-MID-AD-2024-192","AD","CHR","Adult_CHR",0.366,0.628,0.006,0,0
"TUPU-MID-AD-2024-193","AD","CHR","Adult_CHR",0.843,0.111,0.006,0.04,0
"TUPU-MID-AD-2024-194","AD","CHR","Adult_CHR",0.375,0.625,0,0,0
"TUPU-MID-AD-2024-195","AD","CHR","Adult_CHR",0.159,0.836,0,0,0
"TUPU-MID-AD-2024-196","AD","CHR","Adult_CHR",0,0.422,0.578,0,0
"TUPU-MID-AD-2024-197","AD","CHR","Adult_CHR",0.147,0.853,0,0,0
"TUPU-MID-AD-2024-198","AD","CHR","Adult_CHR",0.035,0.666,0.299,0,0
"TUPU-MID-AD-2024-199","AD","CHR","Adult_CHR",0.38,0.197,0.423,0,0
"TUPU-MID-AD-2024-200","AD","CHR","Adult_CHR",0.973,0.022,0.004,0,0
"TUPU-MID-AD-2024-201","AD","CHR","Adult_CHR",0.084,0.191,0.724,0,0
"TUPU-MID-AD-2024-202","AD","CHR","Adult_CHR",0.252,0.226,0.522,0,0
"TUPU-MID-AD-2024-203","AD","CHR","Adult_CHR",0.01,0.674,0.317,0,0
"TUPU-MID-AD-2024-204","AD","CHR","Adult_CHR",0,0.579,0.418,0.004,0
"TUPU-MID-AD-2024-210","AD","CHR","Adult_CHR",0.795,0.193,0.011,0,0
"TUPU-MID-AD-2024-212","AD","CHR","Adult_CHR",0.786,0.184,0.031,0,0
"TUPU-MID-AD-2024-217","AD","CHR","Adult_CHR",0.507,0.486,0.004,0.003,0
"TUPU-MID-AD-2024-218","AD","CHR","Adult_CHR",0.025,0.335,0.634,0.005,0
"TUPU-MID-AD-2024-219","AD","CHR","Adult_CHR",0.447,0.052,0.501,0,0
"TUPU-MID-AD-2024-220","AD","CHR","Adult_CHR",0.954,0.035,0.011,0,0
"TUPU-MID-AD-2024-221","AD","CHR","Adult_CHR",0.824,0.176,0,0,0
"TUPU-MID-AD-2024-222","AD","CHR","Adult_CHR",0,0.141,0.859,0,0
"TUPU-MID-AD-2024-223","AD","CHR","Adult_CHR",0.73,0.037,0.233,0,0
"TUPU-MID-AD-2024-224","AD","CHR","Adult_CHR",0,0.104,0.896,0,0
"TUPU-MID-AD-2024-225","AD","CHR","Adult_CHR",0.035,0.008,0.948,0.009,0
"TUPU-MID-AD-2024-226","AD","CHR","Adult_CHR",0.726,0.195,0.079,0,0
"TUPU-MID-AD-2024-228","AD","CHR","Adult_CHR",0.588,0.157,0.088,0.167,0
