dep_id,Gurge.Sample.ID,Fecal.Sample.ID
A111_wbbws_7May2024,NA,BLKI-MID-AD-2024-1
A110_ygegs_7May2024,NA,BLKI-MID-AD-2024-2
A105_wyobs_8May2024,Middleton-BLKI-2024-604,BLKI-MID-AD-2024-3
A99_bwobs_8May2024,Middleton-BLKI-2024-605,BLKI-MID-AD-2024-4
A104_eseey_10May2024,Middleton-BLKI-2024-606,BLKI-MID-AD-2024-5
A96_orwwks_10May2024,NA,BLKI-MID-AD-2024-6
A108_wgsryw_8May2024,NA,BLKI-MID-AD-2024-7
A102_brgrs_10May2024,NA,BLKI-MID-AD-2024-8
A106_rsgbe_10May2024,NA,BLKI-MID-AD-2024-9
A98_okswwg_10May2024,NA,BLKI-MID-AD-2024-10
A99_wsgye_13May2024,NA,BLKI-MID-AD-2024-11
A110_wswww_13May2024,NA,BLKI-MID-AD-2024-12
A115_wsyyg_13May2024,Middleton-BLKI-2024-608,BLKI-MID-AD-2024-13
A112_oerrs_13May2024,NA,BLKI-MID-AD-2024-14
A105_ywroks_13May2024,Middleton-BLKI-2024-609,BLKI-MID-AD-2024-15
A107_bsbgo_14May2024,NA,BLKI-MID-AD-2024-16
A113_oysbko_15May2024,NA,BLKI-MID-AD-2024-17
A104_royoks_14May2024,NA,BLKI-MID-AD-2024-18
A112_weyws_17May2024,NA,BLKI-MID-AD-2024-19
A119_esboo_17May2024,NA,BLKI-MID-AD-2024-20
A118_rsegw_17May2024,NA,BLKI-MID-AD-2024-21
A115_ogoogs_17May2024,NA,BLKI-MID-AD-2024-22
A117_oksbrb_17May2024,Middleton-BLKI-2024-610,BLKI-MID-AD-2024-23
A120_yksryr_18May2024,NA,BLKI-MID-AD-2024-24
A121_gbwgs_18May2024,NA,BLKI-MID-AD-2024-25
A116_obbes_17May2024,NA,BLKI-MID-AD-2024-26
A114_rbsgkw_15May2024,NA,BLKI-MID-AD-2024-27
A122_eyges_7Jun2024,Middleton-BLKI-2024-613,BLKI-MID-AD-2024-28
A123_gkroos_8Jun2024,NA,BLKI-MID-AD-2024-29
A121_ywgws_8Jun2024,NA,BLKI-MID-AD-2024-30
A120_wsywo_8Jun2024,Middleton-BLKI-2024-614,BLKI-MID-AD-2024-31
A113_bwwrs_10Jun2024,NA,BLKI-MID-AD-2024-32
A114_wsyeb_10Jun2024,NA,BLKI-MID-AD-2024-33
A119_rbybs_10Jun2024,Middleton-BLKI-2024-615,BLKI-MID-AD-2024-34
A116_yosgkb_10Jun2024,NA,BLKI-MID-AD-2024-35
A118_esyee_11Jun2024,Middleton-BLKI-2024-616,BLKI-MID-AD-2024-36
A117_rowys_10Jun2024,NA,BLKI-MID-AD-2024-37
A122_yowws_12Jun2024,NA,BLKI-MID-AD-2024-38
A123_wbsokb_12Jun2024,Middleton-BLKI-2024-617,BLKI-MID-AD-2024-39
A121_rybrks_14Jun2024,NA,BLKI-MID-AD-2024-40
A125_wbsrgg_14Jun2024,NA,BLKI-MID-AD-2024-41
A126_yswew_14Jun2024,NA,BLKI-MID-AD-2024-42
A112_rbwes_14Jun2024,Middleton-BLKI-2024-618,BLKI-MID-AD-2024-43
A115_orsgkg_15Jun2024,NA,BLKI-MID-AD-2024-44
