BL_ID,Colony,Burrow,Date,Time,Media,Background,GPS,Visibility,Comment,PhotoID,Prey,Count,Confidence,BillHeight_pix,Headbill_pix,HeadLength_pix,TailLength_pix,Measure_comment
EC15_2024-07-17_05:47:00,EC,EC15,2024-07-17,05:47,Photo,N,N,Full,,07170055.JPG,UnknownFish,3,NA,456,,,710,
EC15_2024-07-20_13:03:00,EC,EC15,2024-07-20,13:03,Photo,N,N,Full,,07200732.MOV,Gadid,4,50,100,,40,155,UnknownFish to Gadid
EC15_2024-07-20_15:42:00,EC,EC15,2024-07-20,15:42,Photo,N,N,Full,,07200101.JPG,Gadid,5,100,248,,,434,
EC15_2024-07-21_07:11:00,EC,EC15,2024-07-21,07:11,Photo,N,N,Full,,07210640.JPG,Gadid,2,50,X,X,,,
EC15_2024-07-21_08:47:00,EC,EC15,2024-07-21,08:47,Photo,N,N,Full,,07210698.JPG,Gadid,4,100,,702,,497,
EC15_2024-07-21_08:47:00,EC,EC15,2024-07-21,08:47,Photo,N,N,Full,,07210697.JPG,Sandlance,1,50,,679,,265,
EC15_2024-07-23_11:42:00,EC,EC15,2024-07-23,11:42,Photo,N,N,Full,,07230415.JPG,Gadid,3,75,463,,,692,
EC15_2024-07-25_11:48:00,EC,EC15,2024-07-25,11:48,Photo,N,N,Full,,07250175.JPG,Capelin,3,75,444,,,706,
EC15_2024-07-27_07:00:00,EC,EC15,2024-07-27,07:00,Photo,N,N,Full,,07270244.JPG,Sandlance,1,75,265,,,362,
EC15_2024-07-27_07:00:00,EC,EC15,2024-07-27,07:00,Photo,N,N,Full,,07270244.JPG,UnknownFish,2,NA,265,,129,,
EC15_2024-07-27_14:33:00,EC,EC15,2024-07-27,14:33,Photo,N,N,Partial,,07270784.JPG,UnknownFish,4,NA,X,X,,,Unknown to UnknownFish
EC15_2024-07-29_11:07:00,EC,EC15,2024-07-29,11:07,Photo,N,N,Full,,07290790.JPG,Gadid,5,100,379,,136,579,
EC20_2024-07-16_05:36:00,EC,EC20,2024-07-16,05:36,Photo,N,N,Full,,07160544.JPG,Gadid,2,100,636,,,782,
EC20_2024-07-16_12:08:00,EC,EC20,2024-07-16,12:08,Photo,N,N,Full,,07160619.JPG,UnknownFish,2,NA,578,,,514,Unknown to UnknownFish
EC20_2024-07-18_05:05:00,EC,EC20,2024-07-18,05:05,Photo,N,N,Full,,07180253.JPG,Sandlance,4,100,284,,128,493,
EC20_2024-07-19_05:09:00,EC,EC20,2024-07-19,05:09,Photo,N,N,Full,Not sure if prey,07190544.JPG,UnknownFish,2,NA,561,,,718,Unknown to UnknownFish
EC20_2024-07-19_10:14:00,EC,EC20,2024-07-19,10:14,Photo,N,N,Full,,07190721.JPG,Sandlance,1,100,574,,,565,
EC20_2024-07-19_10:14:00,EC,EC20,2024-07-19,10:14,Photo,N,N,Full,,07190721.JPG,Unknown,1,NA,,,X,X,
EC20_2024-07-21_06:20:00,EC,EC20,2024-07-21,06:20,Photo,N,N,Full,,07210136.JPG,UnknownFish,3,NA,634,,,680,
EC20_2024-07-21_06:20:00,EC,EC20,2024-07-21,06:20,Photo,N,N,Full,,07210136.JPG,Gadid,1,50,634,,,795,1 UnknownFish to Gadid
EC20_2024-07-21_07:32:00,EC,EC20,2024-07-21,07:32,Photo,N,N,Partial,,07210145.JPG,UnknownFish,1,NA,X,X,,,
EC20_2024-07-22_09:46:00,EC,EC20,2024-07-22,09:46,Photo,N,N,Full,,07220121.JPG,UnknownFish,4,NA,,,X,X,
EC20_2024-07-23_07:25:00,EC,EC20,2024-07-23,07:25,Photo,N,N,Full,,07230295.JPG,UnknownFish,1,NA,617,,,823,
EC20_2024-07-23_07:25:00,EC,EC20,2024-07-23,07:25,Photo,N,N,Full,,07230295.JPG,UnknownFish,1,NA,617,,,1080,Tip of tail offscreen—length estimated
EC20_2024-07-23_09:47:00,EC,EC20,2024-07-23,09:47,Photo,N,N,Partial,,07230343.JPG,UnknownFish,1,NA,X,X,,,
EC20_2024-07-24_09:39:00,EC,EC20,2024-07-24,09:39,Photo,N,N,Full,,07240469.JPG,UnknownFish,2,NA,549,,,704,
EC20_2024-07-24_22:05:00,EC,EC20,2024-07-24,22:05,Photo,N,N,Full,,07240574.JPG,UnknownFish,3,NA,,,X,X,
EC20_2024-07-25_04:30:00,EC,EC20,2024-07-25,04:30,Photo,N,N,Full,,07250589.JPG,Capelin,1,100,319,,,691,
EC20_2024-07-25_04:53:00,EC,EC20,2024-07-25,04:53,Photo,N,N,Full,,07250598.JPG,Capelin,2,75,284,,,621,
EC20_2024-07-25_05:45:00,EC,EC20,2024-07-25,05:45,Photo,N,N,Full,,07250613.JPG,UnknownFish,2,NA,,,X,X,
EC20_2024-07-25_13:35:00,EC,EC20,2024-07-25,13:35,Photo,N,N,Partial,,07250730.JPG,Unknown,1,NA,,,X,X,
EC20_2024-07-25_14:25:00,EC,EC20,2024-07-25,14:25,Photo,N,N,Full,,07250742.JPG,UnknownFish,1,NA,,,X,X,
EC20_2024-07-25_20:12:00,EC,EC20,2024-07-25,20:12,Photo,N,N,Full,,07250775.JPG,Sandlance,4,75,662,,161,,1 UnknownFish added to Sandlance count
EC20_2024-07-25_20:12:00,EC,EC20,2024-07-25,20:12,Photo,N,N,Full,,07250775.JPG,UnknownFish,2,NA,,,X,X,
EC20_2024-07-25_22:26:00,EC,EC20,2024-07-25,22:26,Photo,N,N,Full,,07250796.JPG,Sandlance,2,50,563,,,634,
EC20_2024-07-25_22:26:00,EC,EC20,2024-07-25,22:26,Photo,N,N,Full,,07250796.JPG,UnknownFish,1,NA,563,,225,,
EC20_2024-07-26_04:28:00,EC,EC20,2024-07-26,04:28,Photo,N,N,Full,,07260853.JPG,Capelin,1,100,316,,,751,
EC20_2024-07-26_23:19:00,EC,EC20,2024-07-26,23:19,Photo,N,N,Full,See video,07260007.JPG,Capelin,2,100,323,,,833,
