Gurge.Sample.ID,Herring,Capelin,Myctophid,Herring0,Eulachon,Sand_lance,Lingcod,Pollock,Sockeye_salmon,Chum_salmon,Pink_salmon,Salmon,Greenling,Sablefish,Stichaeid,Fish,Amphipod,Euphausiid,Squid,Shrimp,Polychaete
Middleton-BLKI-2023-208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6
Middleton-BLKI-2023-194,13.3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-210,24.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-224,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-220,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-205,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0
Middleton-BLKI-2023-285,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-176,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-253,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-469,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-466,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-465,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-463,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-462,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-476,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0
Middleton-BLKI-2023-464,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-468,0,0,0,0,0,0,0.1,0,18.1,3.7,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-471,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-461,0,0,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Middleton-BLKI-2023-474,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-473,0,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-475,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-472,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-470,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-460,34.8,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-455,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-454,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-459,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-457,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-467,0,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-458,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,6.1,0,0
Middleton-BLKI-2023-449,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-452,3.6,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-451,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0
Middleton-BLKI-2023-450,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-448,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-453,79.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
Middleton-BLKI-2023-456,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2023-447,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0
Middleton-BLKI-2024-605,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-606,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-607,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-609,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-608,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,5,0.1,0,0.1,0,0
Middleton-BLKI-2024-610,0,2.8,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-613,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0
Middleton-BLKI-2024-614,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-615,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-616,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-617,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
Middleton-BLKI-2024-618,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-620,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0.1,0,0.1,1,0
Middleton-BLKI-2024-621,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-622,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-625,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Middleton-BLKI-2024-636,0,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-638,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
Middleton-BLKI-2024-623,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-624,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-626,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-628,0.3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-627,0,0,0,15,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Middleton-BLKI-2024-631,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-630,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-633,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-632,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0
Middleton-BLKI-2024-635,0,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-634,0,0,0,1,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-639,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-637,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0
Middleton-BLKI-2024-643,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-642,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-641,0,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-640,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.7,0,0,0,0,0
Middleton-BLKI-2024-644,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-647,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-645,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
Middleton-BLKI-2024-646,0,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-648,0,0,0,0,0,0,0,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-649,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-680,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleton-BLKI-2024-679,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
