"Prey","n","LengthAv","LengthSD","HeadAv","HeadSD","TailAv","TailSD"
"Capelin",10,120,22.5,0.199,0.0144,0.801,0.0144
"Greenling",11,74.5,7.05,0.198,0.0164,0.802,0.0164
"Herring0",9,57,19.8,0.227,0.0233,0.773,0.0233
"Herring1",3,101,6.03,0.219,0.0179,0.781,0.0179
"Prowfish",5,112,15.9,0.194,0.0139,0.806,0.0139
"Sablefish",5,147,56.8,0.19,0.0292,0.81,0.0292
"Sandfish",5,74.6,11.5,0.225,0.0134,0.775,0.0134
"Sandlance",11,105,36.3,0.13,0.00446,0.87,0.00446
"Squid",2,188,11.3,0.538,0.0214,0.462,0.0214
"Gadid",21,74,9.29,0.2225,0.0126,0.7775,0.0126
