index,Copepod,Fish,Eumalacostracan,Jellyfish,Eucarid,Squid,Polychaete,Ctenophore,Peracarid,Goose_barnacle,Species,Colony,Age,Year,Type,Plate,Stage
BLKI-MID-AD-2024-10,0,126,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-13,20389,13440,8,0,132,1228,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-14,0,151980,0,0,0,1187,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-17,0,27514,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-20,0,20222,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-23,0,45046,0,0,414,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-25,0,219,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-26,0,2182,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-28,495,74,0,0,56,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-290,0,144,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-3,0,16,628,0,10124,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-30,0,1796,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-31,0,45028,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-32,0,28270,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-33,0,148,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-34,0,1920,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-35,0,467,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-36,41315,16448,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-38,0,369,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-39,0,2153,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-4,5,4805,0,0,7,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-40,0,2443,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-41,585,13541,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-43,0,13490,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-44,0,4334,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-45,2121,16482,0,0,0,190,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-47,6286,4980,0,0,6,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-48,0,3444,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-5,0,3116,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-50,0,989,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-51,0,1937,0,0,0,0,105,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-52,46300,36127,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-53,233,60164,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-54,20,37546,0,0,135,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-56,0,85575,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-57,0,19373,0,0,665,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
